developer,day,MODIFY
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,0,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,1,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,2,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,3,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,4,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,5,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,6,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,7,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,8,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,9,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,10,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,11,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,12,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,13,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,14,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,15,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,16,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,17,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,18,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,19,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,20,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,21,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,22,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,23,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,24,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,25,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,26,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,27,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,28,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,29,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,30,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,31,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,32,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,33,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,34,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,35,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,36,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,37,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,38,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,39,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,40,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,41,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,42,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,43,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,44,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,45,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,46,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,47,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,48,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,49,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,50,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,51,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,52,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,53,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,54,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,55,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,56,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,57,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,58,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,59,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,60,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,61,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,62,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,63,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,64,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,65,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,66,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,67,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,68,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,69,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,70,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,71,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,72,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,73,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,74,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,75,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,76,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,77,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,78,1
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,79,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,80,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,81,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,82,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,83,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,84,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,85,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,86,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,87,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,88,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,89,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,90,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,91,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,92,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,93,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,94,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,95,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,96,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,97,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,98,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,99,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,100,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,101,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,102,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,103,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,104,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,105,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,106,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,107,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,108,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,109,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,110,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,111,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,112,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,113,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,114,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,115,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,116,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,117,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,118,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,119,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,120,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,121,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,122,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,123,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,124,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,125,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,126,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,127,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,128,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,129,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,130,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,131,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,132,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,133,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,134,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,135,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,136,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,137,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,138,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,139,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,140,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,141,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,142,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,143,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,144,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,145,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,146,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,147,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,148,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,149,0
kafka - Edward Jay Kreps - 2011-08-01 23:41:24+00:00,150,0
