developer,day,MODIFY
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,0,4
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,1,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,2,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,3,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,4,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,5,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,6,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,7,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,8,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,9,1
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,10,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,11,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,12,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,13,1
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,14,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,15,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,16,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,17,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,18,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,19,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,20,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,21,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,22,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,23,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,24,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,25,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,26,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,27,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,28,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,29,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,30,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,31,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,32,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,33,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,34,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,35,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,36,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,37,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,38,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,39,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,40,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,41,8
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,42,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,43,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,44,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,45,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,46,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,47,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,48,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,49,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,50,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,51,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,52,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,53,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,54,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,55,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,56,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,57,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,58,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,59,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,60,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,61,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,62,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,63,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,64,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,65,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,66,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,67,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,68,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,69,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,70,9
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,71,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,72,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,73,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,74,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,75,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,76,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,77,3
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,78,114
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,79,1
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,80,84
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,81,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,82,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,83,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,84,8
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,85,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,86,16
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,87,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,88,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,89,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,90,11
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,91,5
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,92,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,93,7
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,94,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,95,74
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,96,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,97,15
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,98,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,99,4
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,100,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,101,31
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,102,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,103,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,104,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,105,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,106,16
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,107,307
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,108,137
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,109,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,110,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,111,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,112,9
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,113,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,114,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,115,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,116,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,117,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,118,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,119,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,120,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,121,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,122,34
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,123,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,124,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,125,17
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,126,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,127,8
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,128,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,129,28
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,130,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,131,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,132,27
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,133,22
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,134,19
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,135,10
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,136,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,137,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,138,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,139,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,140,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,141,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,142,21
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,143,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,144,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,145,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,146,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,147,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,148,0
incubator-shardingsphere - terrymanu - 2016-01-18 21:21:34+08:00,149,0
