developer,day,MODIFY
groovy - jstrachan - 2003-09-11 14:11:56+00:00,0,43
groovy - jstrachan - 2003-09-11 14:11:56+00:00,1,20
groovy - jstrachan - 2003-09-11 14:11:56+00:00,2,3
groovy - jstrachan - 2003-09-11 14:11:56+00:00,3,2
groovy - jstrachan - 2003-09-11 14:11:56+00:00,4,0
groovy - jstrachan - 2003-09-11 14:11:56+00:00,5,0
groovy - jstrachan - 2003-09-11 14:11:56+00:00,6,0
groovy - jstrachan - 2003-09-11 14:11:56+00:00,7,21
groovy - jstrachan - 2003-09-11 14:11:56+00:00,8,0
groovy - jstrachan - 2003-09-11 14:11:56+00:00,9,5
groovy - jstrachan - 2003-09-11 14:11:56+00:00,10,3
groovy - jstrachan - 2003-09-11 14:11:56+00:00,11,17
groovy - jstrachan - 2003-09-11 14:11:56+00:00,12,5
groovy - jstrachan - 2003-09-11 14:11:56+00:00,13,32
groovy - jstrachan - 2003-09-11 14:11:56+00:00,14,10
groovy - jstrachan - 2003-09-11 14:11:56+00:00,15,140
groovy - jstrachan - 2003-09-11 14:11:56+00:00,16,0
groovy - jstrachan - 2003-09-11 14:11:56+00:00,17,0
groovy - jstrachan - 2003-09-11 14:11:56+00:00,18,4
groovy - jstrachan - 2003-09-11 14:11:56+00:00,19,6
groovy - jstrachan - 2003-09-11 14:11:56+00:00,20,8
groovy - jstrachan - 2003-09-11 14:11:56+00:00,21,24
groovy - jstrachan - 2003-09-11 14:11:56+00:00,22,11
groovy - jstrachan - 2003-09-11 14:11:56+00:00,23,0
groovy - jstrachan - 2003-09-11 14:11:56+00:00,24,68
groovy - jstrachan - 2003-09-11 14:11:56+00:00,25,14
groovy - jstrachan - 2003-09-11 14:11:56+00:00,26,4
groovy - jstrachan - 2003-09-11 14:11:56+00:00,27,21
groovy - jstrachan - 2003-09-11 14:11:56+00:00,28,10
groovy - jstrachan - 2003-09-11 14:11:56+00:00,29,9
groovy - jstrachan - 2003-09-11 14:11:56+00:00,30,0
groovy - jstrachan - 2003-09-11 14:11:56+00:00,31,0
groovy - jstrachan - 2003-09-11 14:11:56+00:00,32,0
groovy - jstrachan - 2003-09-11 14:11:56+00:00,33,0
groovy - jstrachan - 2003-09-11 14:11:56+00:00,34,0
groovy - jstrachan - 2003-09-11 14:11:56+00:00,35,0
groovy - jstrachan - 2003-09-11 14:11:56+00:00,36,0
groovy - jstrachan - 2003-09-11 14:11:56+00:00,37,0
groovy - jstrachan - 2003-09-11 14:11:56+00:00,38,0
groovy - jstrachan - 2003-09-11 14:11:56+00:00,39,0
groovy - jstrachan - 2003-09-11 14:11:56+00:00,40,0
groovy - jstrachan - 2003-09-11 14:11:56+00:00,41,0
groovy - jstrachan - 2003-09-11 14:11:56+00:00,42,21
groovy - jstrachan - 2003-09-11 14:11:56+00:00,43,0
groovy - jstrachan - 2003-09-11 14:11:56+00:00,44,0
groovy - jstrachan - 2003-09-11 14:11:56+00:00,45,7
groovy - jstrachan - 2003-09-11 14:11:56+00:00,46,7
groovy - jstrachan - 2003-09-11 14:11:56+00:00,47,33
groovy - jstrachan - 2003-09-11 14:11:56+00:00,48,8
groovy - jstrachan - 2003-09-11 14:11:56+00:00,49,41
groovy - jstrachan - 2003-09-11 14:11:56+00:00,50,9
groovy - jstrachan - 2003-09-11 14:11:56+00:00,51,3
groovy - jstrachan - 2003-09-11 14:11:56+00:00,52,7
groovy - jstrachan - 2003-09-11 14:11:56+00:00,53,33
groovy - jstrachan - 2003-09-11 14:11:56+00:00,54,0
groovy - jstrachan - 2003-09-11 14:11:56+00:00,55,1
groovy - jstrachan - 2003-09-11 14:11:56+00:00,56,0
groovy - jstrachan - 2003-09-11 14:11:56+00:00,57,0
groovy - jstrachan - 2003-09-11 14:11:56+00:00,58,0
groovy - jstrachan - 2003-09-11 14:11:56+00:00,59,0
groovy - jstrachan - 2003-09-11 14:11:56+00:00,60,14
groovy - jstrachan - 2003-09-11 14:11:56+00:00,61,2
groovy - jstrachan - 2003-09-11 14:11:56+00:00,62,0
groovy - jstrachan - 2003-09-11 14:11:56+00:00,63,0
groovy - jstrachan - 2003-09-11 14:11:56+00:00,64,15
groovy - jstrachan - 2003-09-11 14:11:56+00:00,65,1
groovy - jstrachan - 2003-09-11 14:11:56+00:00,66,16
groovy - jstrachan - 2003-09-11 14:11:56+00:00,67,5
