developer,day,MODIFY
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,0,1
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,1,0
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,2,46
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,3,3
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,4,0
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,5,0
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,6,0
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,7,6
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,8,7
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,9,0
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,10,4
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,11,1
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,12,0
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,13,4
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,14,0
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,15,17
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,16,1
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,17,6
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,18,4
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,19,0
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,20,0
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,21,0
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,22,0
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,23,2
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,24,16
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,25,0
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,26,2
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,27,3
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,28,2
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,29,0
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,30,0
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,31,5
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,32,6
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,33,0
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,34,0
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,35,0
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,36,5
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,37,1
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,38,1
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,39,0
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,40,0
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,41,0
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,42,0
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,43,6
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,44,0
tomcat - rmaucher - 2006-03-27 13:53:46+00:00,45,0
