developer,day,MODIFY
heat - asalkeld - 2012-03-13 21:48:07+11:00,0,5
heat - asalkeld - 2012-03-13 21:48:07+11:00,1,26
heat - asalkeld - 2012-03-13 21:48:07+11:00,2,16
heat - asalkeld - 2012-03-13 21:48:07+11:00,3,1
heat - asalkeld - 2012-03-13 21:48:07+11:00,4,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,5,4
heat - asalkeld - 2012-03-13 21:48:07+11:00,6,2
heat - asalkeld - 2012-03-13 21:48:07+11:00,7,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,8,7
heat - asalkeld - 2012-03-13 21:48:07+11:00,9,1
heat - asalkeld - 2012-03-13 21:48:07+11:00,10,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,11,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,12,4
heat - asalkeld - 2012-03-13 21:48:07+11:00,13,3
heat - asalkeld - 2012-03-13 21:48:07+11:00,14,14
heat - asalkeld - 2012-03-13 21:48:07+11:00,15,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,16,18
heat - asalkeld - 2012-03-13 21:48:07+11:00,17,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,18,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,19,9
heat - asalkeld - 2012-03-13 21:48:07+11:00,20,5
heat - asalkeld - 2012-03-13 21:48:07+11:00,21,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,22,22
heat - asalkeld - 2012-03-13 21:48:07+11:00,23,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,24,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,25,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,26,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,27,6
heat - asalkeld - 2012-03-13 21:48:07+11:00,28,7
heat - asalkeld - 2012-03-13 21:48:07+11:00,29,1
heat - asalkeld - 2012-03-13 21:48:07+11:00,30,13
heat - asalkeld - 2012-03-13 21:48:07+11:00,31,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,32,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,33,33
heat - asalkeld - 2012-03-13 21:48:07+11:00,34,8
heat - asalkeld - 2012-03-13 21:48:07+11:00,35,11
heat - asalkeld - 2012-03-13 21:48:07+11:00,36,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,37,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,38,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,39,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,40,5
heat - asalkeld - 2012-03-13 21:48:07+11:00,41,6
heat - asalkeld - 2012-03-13 21:48:07+11:00,42,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,43,3
heat - asalkeld - 2012-03-13 21:48:07+11:00,44,24
heat - asalkeld - 2012-03-13 21:48:07+11:00,45,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,46,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,47,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,48,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,49,2
heat - asalkeld - 2012-03-13 21:48:07+11:00,50,4
heat - asalkeld - 2012-03-13 21:48:07+11:00,51,10
heat - asalkeld - 2012-03-13 21:48:07+11:00,52,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,53,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,54,9
heat - asalkeld - 2012-03-13 21:48:07+11:00,55,4
heat - asalkeld - 2012-03-13 21:48:07+11:00,56,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,57,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,58,1
heat - asalkeld - 2012-03-13 21:48:07+11:00,59,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,60,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,61,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,62,1
heat - asalkeld - 2012-03-13 21:48:07+11:00,63,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,64,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,65,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,66,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,67,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,68,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,69,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,70,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,71,2
heat - asalkeld - 2012-03-13 21:48:07+11:00,72,23
heat - asalkeld - 2012-03-13 21:48:07+11:00,73,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,74,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,75,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,76,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,77,4
heat - asalkeld - 2012-03-13 21:48:07+11:00,78,1
heat - asalkeld - 2012-03-13 21:48:07+11:00,79,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,80,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,81,0
heat - asalkeld - 2012-03-13 21:48:07+11:00,82,1
heat - asalkeld - 2012-03-13 21:48:07+11:00,83,14
heat - asalkeld - 2012-03-13 21:48:07+11:00,84,4
heat - asalkeld - 2012-03-13 21:48:07+11:00,85,13
