developer,day,MODIFY
nltk - edloper - 2001-03-01 09:26:35+00:00,0,0
nltk - edloper - 2001-03-01 09:26:35+00:00,1,2
nltk - edloper - 2001-03-01 09:26:35+00:00,2,2
nltk - edloper - 2001-03-01 09:26:35+00:00,3,0
nltk - edloper - 2001-03-01 09:26:35+00:00,4,0
nltk - edloper - 2001-03-01 09:26:35+00:00,5,0
nltk - edloper - 2001-03-01 09:26:35+00:00,6,0
nltk - edloper - 2001-03-01 09:26:35+00:00,7,0
nltk - edloper - 2001-03-01 09:26:35+00:00,8,0
nltk - edloper - 2001-03-01 09:26:35+00:00,9,0
nltk - edloper - 2001-03-01 09:26:35+00:00,10,0
nltk - edloper - 2001-03-01 09:26:35+00:00,11,0
nltk - edloper - 2001-03-01 09:26:35+00:00,12,0
nltk - edloper - 2001-03-01 09:26:35+00:00,13,0
nltk - edloper - 2001-03-01 09:26:35+00:00,14,0
nltk - edloper - 2001-03-01 09:26:35+00:00,15,0
nltk - edloper - 2001-03-01 09:26:35+00:00,16,0
nltk - edloper - 2001-03-01 09:26:35+00:00,17,0
nltk - edloper - 2001-03-01 09:26:35+00:00,18,0
nltk - edloper - 2001-03-01 09:26:35+00:00,19,0
nltk - edloper - 2001-03-01 09:26:35+00:00,20,0
nltk - edloper - 2001-03-01 09:26:35+00:00,21,0
nltk - edloper - 2001-03-01 09:26:35+00:00,22,0
nltk - edloper - 2001-03-01 09:26:35+00:00,23,0
nltk - edloper - 2001-03-01 09:26:35+00:00,24,0
nltk - edloper - 2001-03-01 09:26:35+00:00,25,0
nltk - edloper - 2001-03-01 09:26:35+00:00,26,0
nltk - edloper - 2001-03-01 09:26:35+00:00,27,0
nltk - edloper - 2001-03-01 09:26:35+00:00,28,0
nltk - edloper - 2001-03-01 09:26:35+00:00,29,0
nltk - edloper - 2001-03-01 09:26:35+00:00,30,0
nltk - edloper - 2001-03-01 09:26:35+00:00,31,0
nltk - edloper - 2001-03-01 09:26:35+00:00,32,0
nltk - edloper - 2001-03-01 09:26:35+00:00,33,0
nltk - edloper - 2001-03-01 09:26:35+00:00,34,0
nltk - edloper - 2001-03-01 09:26:35+00:00,35,0
nltk - edloper - 2001-03-01 09:26:35+00:00,36,0
nltk - edloper - 2001-03-01 09:26:35+00:00,37,0
nltk - edloper - 2001-03-01 09:26:35+00:00,38,0
nltk - edloper - 2001-03-01 09:26:35+00:00,39,0
nltk - edloper - 2001-03-01 09:26:35+00:00,40,0
nltk - edloper - 2001-03-01 09:26:35+00:00,41,0
nltk - edloper - 2001-03-01 09:26:35+00:00,42,0
nltk - edloper - 2001-03-01 09:26:35+00:00,43,0
nltk - edloper - 2001-03-01 09:26:35+00:00,44,0
nltk - edloper - 2001-03-01 09:26:35+00:00,45,0
nltk - edloper - 2001-03-01 09:26:35+00:00,46,0
nltk - edloper - 2001-03-01 09:26:35+00:00,47,0
nltk - edloper - 2001-03-01 09:26:35+00:00,48,0
nltk - edloper - 2001-03-01 09:26:35+00:00,49,0
nltk - edloper - 2001-03-01 09:26:35+00:00,50,0
nltk - edloper - 2001-03-01 09:26:35+00:00,51,0
nltk - edloper - 2001-03-01 09:26:35+00:00,52,0
nltk - edloper - 2001-03-01 09:26:35+00:00,53,0
nltk - edloper - 2001-03-01 09:26:35+00:00,54,0
nltk - edloper - 2001-03-01 09:26:35+00:00,55,0
nltk - edloper - 2001-03-01 09:26:35+00:00,56,0
nltk - edloper - 2001-03-01 09:26:35+00:00,57,0
nltk - edloper - 2001-03-01 09:26:35+00:00,58,0
nltk - edloper - 2001-03-01 09:26:35+00:00,59,0
nltk - edloper - 2001-03-01 09:26:35+00:00,60,0
nltk - edloper - 2001-03-01 09:26:35+00:00,61,0
nltk - edloper - 2001-03-01 09:26:35+00:00,62,0
nltk - edloper - 2001-03-01 09:26:35+00:00,63,0
nltk - edloper - 2001-03-01 09:26:35+00:00,64,0
nltk - edloper - 2001-03-01 09:26:35+00:00,65,0
nltk - edloper - 2001-03-01 09:26:35+00:00,66,0
nltk - edloper - 2001-03-01 09:26:35+00:00,67,0
nltk - edloper - 2001-03-01 09:26:35+00:00,68,0
nltk - edloper - 2001-03-01 09:26:35+00:00,69,0
nltk - edloper - 2001-03-01 09:26:35+00:00,70,0
nltk - edloper - 2001-03-01 09:26:35+00:00,71,0
nltk - edloper - 2001-03-01 09:26:35+00:00,72,0
nltk - edloper - 2001-03-01 09:26:35+00:00,73,0
nltk - edloper - 2001-03-01 09:26:35+00:00,74,0
nltk - edloper - 2001-03-01 09:26:35+00:00,75,0
nltk - edloper - 2001-03-01 09:26:35+00:00,76,0
nltk - edloper - 2001-03-01 09:26:35+00:00,77,0
nltk - edloper - 2001-03-01 09:26:35+00:00,78,0
nltk - edloper - 2001-03-01 09:26:35+00:00,79,0
nltk - edloper - 2001-03-01 09:26:35+00:00,80,0
nltk - edloper - 2001-03-01 09:26:35+00:00,81,0
nltk - edloper - 2001-03-01 09:26:35+00:00,82,0
nltk - edloper - 2001-03-01 09:26:35+00:00,83,0
nltk - edloper - 2001-03-01 09:26:35+00:00,84,0
nltk - edloper - 2001-03-01 09:26:35+00:00,85,0
nltk - edloper - 2001-03-01 09:26:35+00:00,86,0
nltk - edloper - 2001-03-01 09:26:35+00:00,87,0
nltk - edloper - 2001-03-01 09:26:35+00:00,88,0
nltk - edloper - 2001-03-01 09:26:35+00:00,89,0
nltk - edloper - 2001-03-01 09:26:35+00:00,90,0
nltk - edloper - 2001-03-01 09:26:35+00:00,91,0
nltk - edloper - 2001-03-01 09:26:35+00:00,92,0
nltk - edloper - 2001-03-01 09:26:35+00:00,93,0
nltk - edloper - 2001-03-01 09:26:35+00:00,94,0
nltk - edloper - 2001-03-01 09:26:35+00:00,95,0
nltk - edloper - 2001-03-01 09:26:35+00:00,96,0
nltk - edloper - 2001-03-01 09:26:35+00:00,97,0
nltk - edloper - 2001-03-01 09:26:35+00:00,98,0
nltk - edloper - 2001-03-01 09:26:35+00:00,99,0
nltk - edloper - 2001-03-01 09:26:35+00:00,100,0
nltk - edloper - 2001-03-01 09:26:35+00:00,101,0
nltk - edloper - 2001-03-01 09:26:35+00:00,102,0
nltk - edloper - 2001-03-01 09:26:35+00:00,103,0
nltk - edloper - 2001-03-01 09:26:35+00:00,104,0
nltk - edloper - 2001-03-01 09:26:35+00:00,105,0
nltk - edloper - 2001-03-01 09:26:35+00:00,106,0
nltk - edloper - 2001-03-01 09:26:35+00:00,107,0
nltk - edloper - 2001-03-01 09:26:35+00:00,108,0
nltk - edloper - 2001-03-01 09:26:35+00:00,109,0
nltk - edloper - 2001-03-01 09:26:35+00:00,110,0
nltk - edloper - 2001-03-01 09:26:35+00:00,111,0
nltk - edloper - 2001-03-01 09:26:35+00:00,112,1
nltk - edloper - 2001-03-01 09:26:35+00:00,113,0
nltk - edloper - 2001-03-01 09:26:35+00:00,114,0
nltk - edloper - 2001-03-01 09:26:35+00:00,115,7
nltk - edloper - 2001-03-01 09:26:35+00:00,116,0
nltk - edloper - 2001-03-01 09:26:35+00:00,117,0
nltk - edloper - 2001-03-01 09:26:35+00:00,118,0
nltk - edloper - 2001-03-01 09:26:35+00:00,119,0
nltk - edloper - 2001-03-01 09:26:35+00:00,120,0
nltk - edloper - 2001-03-01 09:26:35+00:00,121,0
nltk - edloper - 2001-03-01 09:26:35+00:00,122,0
nltk - edloper - 2001-03-01 09:26:35+00:00,123,0
nltk - edloper - 2001-03-01 09:26:35+00:00,124,0
nltk - edloper - 2001-03-01 09:26:35+00:00,125,0
nltk - edloper - 2001-03-01 09:26:35+00:00,126,0
nltk - edloper - 2001-03-01 09:26:35+00:00,127,0
nltk - edloper - 2001-03-01 09:26:35+00:00,128,0
nltk - edloper - 2001-03-01 09:26:35+00:00,129,0
nltk - edloper - 2001-03-01 09:26:35+00:00,130,9
nltk - edloper - 2001-03-01 09:26:35+00:00,131,8
nltk - edloper - 2001-03-01 09:26:35+00:00,132,0
nltk - edloper - 2001-03-01 09:26:35+00:00,133,0
nltk - edloper - 2001-03-01 09:26:35+00:00,134,5
nltk - edloper - 2001-03-01 09:26:35+00:00,135,1
nltk - edloper - 2001-03-01 09:26:35+00:00,136,1
nltk - edloper - 2001-03-01 09:26:35+00:00,137,0
nltk - edloper - 2001-03-01 09:26:35+00:00,138,0
nltk - edloper - 2001-03-01 09:26:35+00:00,139,0
nltk - edloper - 2001-03-01 09:26:35+00:00,140,0
nltk - edloper - 2001-03-01 09:26:35+00:00,141,0
nltk - edloper - 2001-03-01 09:26:35+00:00,142,0
nltk - edloper - 2001-03-01 09:26:35+00:00,143,0
nltk - edloper - 2001-03-01 09:26:35+00:00,144,0
nltk - edloper - 2001-03-01 09:26:35+00:00,145,0
nltk - edloper - 2001-03-01 09:26:35+00:00,146,0
nltk - edloper - 2001-03-01 09:26:35+00:00,147,0
nltk - edloper - 2001-03-01 09:26:35+00:00,148,0
nltk - edloper - 2001-03-01 09:26:35+00:00,149,0
nltk - edloper - 2001-03-01 09:26:35+00:00,150,0
nltk - edloper - 2001-03-01 09:26:35+00:00,151,0
nltk - edloper - 2001-03-01 09:26:35+00:00,152,1
nltk - edloper - 2001-03-01 09:26:35+00:00,153,0
nltk - edloper - 2001-03-01 09:26:35+00:00,154,0
nltk - edloper - 2001-03-01 09:26:35+00:00,155,3
nltk - edloper - 2001-03-01 09:26:35+00:00,156,0
nltk - edloper - 2001-03-01 09:26:35+00:00,157,0
nltk - edloper - 2001-03-01 09:26:35+00:00,158,0
nltk - edloper - 2001-03-01 09:26:35+00:00,159,0
nltk - edloper - 2001-03-01 09:26:35+00:00,160,0
nltk - edloper - 2001-03-01 09:26:35+00:00,161,0
nltk - edloper - 2001-03-01 09:26:35+00:00,162,5
nltk - edloper - 2001-03-01 09:26:35+00:00,163,0
nltk - edloper - 2001-03-01 09:26:35+00:00,164,0
nltk - edloper - 2001-03-01 09:26:35+00:00,165,0
nltk - edloper - 2001-03-01 09:26:35+00:00,166,7
nltk - edloper - 2001-03-01 09:26:35+00:00,167,2
nltk - edloper - 2001-03-01 09:26:35+00:00,168,0
nltk - edloper - 2001-03-01 09:26:35+00:00,169,6
nltk - edloper - 2001-03-01 09:26:35+00:00,170,0
nltk - edloper - 2001-03-01 09:26:35+00:00,171,0
nltk - edloper - 2001-03-01 09:26:35+00:00,172,0
nltk - edloper - 2001-03-01 09:26:35+00:00,173,0
nltk - edloper - 2001-03-01 09:26:35+00:00,174,0
nltk - edloper - 2001-03-01 09:26:35+00:00,175,0
nltk - edloper - 2001-03-01 09:26:35+00:00,176,0
nltk - edloper - 2001-03-01 09:26:35+00:00,177,0
nltk - edloper - 2001-03-01 09:26:35+00:00,178,0
nltk - edloper - 2001-03-01 09:26:35+00:00,179,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,0,2
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,1,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,2,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,3,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,4,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,5,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,6,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,7,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,8,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,9,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,10,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,11,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,12,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,13,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,14,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,15,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,16,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,17,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,18,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,19,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,20,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,21,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,22,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,23,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,24,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,25,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,26,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,27,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,28,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,29,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,30,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,31,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,32,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,33,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,34,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,35,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,36,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,37,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,38,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,39,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,40,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,41,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,42,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,43,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,44,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,45,1
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,46,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,47,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,48,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,49,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,50,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,51,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,52,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,53,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,54,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,55,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,56,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,57,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,58,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,59,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,60,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,61,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,62,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,63,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,64,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,65,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,66,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,67,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,68,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,69,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,70,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,71,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,72,2
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,73,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,74,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,75,1
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,76,1
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,77,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,78,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,79,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,80,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,81,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,82,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,83,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,84,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,85,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,86,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,87,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,88,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,89,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,90,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,91,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,92,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,93,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,94,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,95,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,96,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,97,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,98,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,99,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,100,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,101,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,102,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,103,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,104,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,105,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,106,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,107,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,108,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,109,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,110,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,111,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,112,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,113,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,114,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,115,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,116,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,117,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,118,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,119,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,120,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,121,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,122,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,123,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,124,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,125,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,126,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,127,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,128,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,129,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,130,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,131,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,132,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,133,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,134,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,135,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,136,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,137,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,138,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,139,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,140,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,141,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,142,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,143,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,144,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,145,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,146,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,147,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,148,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,149,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,150,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,151,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,152,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,153,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,154,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,155,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,156,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,157,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,158,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,159,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,160,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,161,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,162,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,163,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,164,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,165,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,166,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,167,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,168,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,169,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,170,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,171,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,172,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,173,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,174,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,175,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,176,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,177,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,178,0
nltk - Salim Zayats - 2001-07-24 22:44:47+00:00,179,0
nltk - stevenbird - 2001-08-10 19:46:37+00:00,0,3
nltk - stevenbird - 2001-08-10 19:46:37+00:00,1,1
nltk - stevenbird - 2001-08-10 19:46:37+00:00,2,1
nltk - stevenbird - 2001-08-10 19:46:37+00:00,3,3
nltk - stevenbird - 2001-08-10 19:46:37+00:00,4,0
nltk - stevenbird - 2001-08-10 19:46:37+00:00,5,0
nltk - stevenbird - 2001-08-10 19:46:37+00:00,6,3
nltk - stevenbird - 2001-08-10 19:46:37+00:00,7,3
nltk - stevenbird - 2001-08-10 19:46:37+00:00,8,2
nltk - stevenbird - 2001-08-10 19:46:37+00:00,9,3
nltk - stevenbird - 2001-08-10 19:46:37+00:00,10,0
nltk - stevenbird - 2001-08-10 19:46:37+00:00,11,0
nltk - stevenbird - 2001-08-10 19:46:37+00:00,12,0
nltk - stevenbird - 2001-08-10 19:46:37+00:00,13,0
nltk - stevenbird - 2001-08-10 19:46:37+00:00,14,0
nltk - stevenbird - 2001-08-10 19:46:37+00:00,15,0
nltk - stevenbird - 2001-08-10 19:46:37+00:00,16,4
nltk - stevenbird - 2001-08-10 19:46:37+00:00,17,1
nltk - stevenbird - 2001-08-10 19:46:37+00:00,18,0
nltk - stevenbird - 2001-08-10 19:46:37+00:00,19,0
nltk - stevenbird - 2001-08-10 19:46:37+00:00,20,0
nltk - stevenbird - 2001-08-10 19:46:37+00:00,21,0
nltk - stevenbird - 2001-08-10 19:46:37+00:00,22,0
nltk - stevenbird - 2001-08-10 19:46:37+00:00,23,0
nltk - stevenbird - 2001-08-10 19:46:37+00:00,24,0
nltk - stevenbird - 2001-08-10 19:46:37+00:00,25,1
nltk - stevenbird - 2001-08-10 19:46:37+00:00,26,0
nltk - stevenbird - 2001-08-10 19:46:37+00:00,27,2
nltk - stevenbird - 2001-08-10 19:46:37+00:00,28,0
nltk - stevenbird - 2001-08-10 19:46:37+00:00,29,0
nltk - stevenbird - 2001-08-10 19:46:37+00:00,30,0
nltk - stevenbird - 2001-08-10 19:46:37+00:00,31,0
nltk - stevenbird - 2001-08-10 19:46:37+00:00,32,0
nltk - stevenbird - 2001-08-10 19:46:37+00:00,33,0
nltk - stevenbird - 2001-08-10 19:46:37+00:00,34,0
nltk - stevenbird - 2001-08-10 19:46:37+00:00,35,0
nltk - stevenbird - 2001-08-10 19:46:37+00:00,36,0
nltk - stevenbird - 2001-08-10 19:46:37+00:00,37,0
