developer,day,MODIFY
python-swiftclient - chmouel - 2012-05-08 11:17:04+01:00,0,2
python-swiftclient - chmouel - 2012-05-08 11:17:04+01:00,1,1
python-swiftclient - chmouel - 2012-05-08 11:17:04+01:00,2,0
python-swiftclient - chmouel - 2012-05-08 11:17:04+01:00,3,0
python-swiftclient - chmouel - 2012-05-08 11:17:04+01:00,4,0
python-swiftclient - chmouel - 2012-05-08 11:17:04+01:00,5,0
python-swiftclient - chmouel - 2012-05-08 11:17:04+01:00,6,0
python-swiftclient - chmouel - 2012-05-08 11:17:04+01:00,7,0
python-swiftclient - chmouel - 2012-05-08 11:17:04+01:00,8,0
python-swiftclient - chmouel - 2012-05-08 11:17:04+01:00,9,0
python-swiftclient - chmouel - 2012-05-08 11:17:04+01:00,10,0
python-swiftclient - chmouel - 2012-05-08 11:17:04+01:00,11,0
python-swiftclient - chmouel - 2012-05-08 11:17:04+01:00,12,0
python-swiftclient - chmouel - 2012-05-08 11:17:04+01:00,13,1
python-swiftclient - chmouel - 2012-05-08 11:17:04+01:00,14,0
python-swiftclient - chmouel - 2012-05-08 11:17:04+01:00,15,2
python-swiftclient - chmouel - 2012-05-08 11:17:04+01:00,16,0
python-swiftclient - chmouel - 2012-05-08 11:17:04+01:00,17,0
python-swiftclient - chmouel - 2012-05-08 11:17:04+01:00,18,0
python-swiftclient - chmouel - 2012-05-08 11:17:04+01:00,19,0
python-swiftclient - chmouel - 2012-05-08 11:17:04+01:00,20,0
python-swiftclient - chmouel - 2012-05-08 11:17:04+01:00,21,0
python-swiftclient - chmouel - 2012-05-08 11:17:04+01:00,22,0
python-swiftclient - chmouel - 2012-05-08 11:17:04+01:00,23,0
python-swiftclient - chmouel - 2012-05-08 11:17:04+01:00,24,0
python-swiftclient - chmouel - 2012-05-08 11:17:04+01:00,25,0
python-swiftclient - chmouel - 2012-05-08 11:17:04+01:00,26,0
python-swiftclient - chmouel - 2012-05-08 11:17:04+01:00,27,0
python-swiftclient - chmouel - 2012-05-08 11:17:04+01:00,28,0
